Date,Open,High,Low,Close,Adj Close,Volume
2024-05-02,2965.421143,3011.438721,2887.666748,2988.875977,2988.875977,25048943
2024-05-03,2988.875977,3118.450928,2972.007813,3113.317139,3113.317139,12347257
2024-05-04,3113.317139,3164.192139,3100.746338,3133.541748,3133.541748,17025325
2024-05-05,3133.541748,3177.796631,3099.558105,3155.103027,3155.103027,13509234
2024-05-06,3155.103027,3228.214355,3076.068848,3094.224365,3094.224365,19683617
2024-05-07,3094.224365,3142.229736,3035.631836,3040.701904,3040.701904,8440487
2024-05-08,3040.701904,3053.373779,2963.830078,2985.945313,2985.945313,5912440
2024-05-09,2985.945313,3058.531738,2977.727783,3055.138916,3055.138916,21029271
2024-05-10,3055.138916,3067.120361,2909.393555,2920.783936,2920.783936,12153117
2024-05-11,2920.783936,2944.334229,2917.042236,2929.003906,2929.003906,3241386
2024-05-12,2929.003906,2952.986328,2922.438965,2945.005859,2945.005859,2458022
2024-05-13,2945.005859,3000.080078,2895.002197,2970.321289,2970.321289,21253849
2024-05-14,2970.321289,2977.674072,2896.247559,2901.309814,2901.309814,6811367
2024-05-15,2901.309814,3052.011475,2886.553711,3052.011475,3052.011475,19987212
2024-05-16,3052.011475,3053.431885,2954.777832,2959.468506,2959.468506,8814088
2024-05-17,2959.468506,3129.748779,2959.447021,3115.180908,3115.180908,1925021
2024-05-18,3115.180908,3169.428955,3114.828613,3146.859375,3146.859375,3184038
2024-05-19,3146.859375,3156.695557,3089.208496,3099.898193,3099.898193,14968137
2024-05-20,3099.898193,3310.773193,3087.326904,3309.407227,3309.407227,3081907
2024-05-21,3309.407227,3757.614746,3308.938721,3412.906982,3412.906982,5405707
2024-05-22,3412.906982,3819.026123,3353.222412,3784.146240,3784.146240,7239704
2024-05-23,3784.146240,3862.871338,3758.746338,3801.624756,3801.624756,1785722
2024-05-24,3801.624756,3849.135742,3223.199707,3754.202393,3754.202393,2311637
2024-05-25,3754.202393,3790.483887,3402.782715,3406.747314,3406.747314,1571493
2024-05-26,3406.747314,3880.585449,3357.591797,3842.944580,3842.944580,593235
2024-05-27,3842.944580,3984.219238,3842.944580,3914.988770,3914.988770,935402
2024-05-28,3914.988770,3927.008057,3809.185303,3874.047852,3874.047852,10297306
2024-05-29,3874.047852,3901.566650,3774.491699,3791.783447,3791.783447,6918658
2024-05-30,3778.821289,3808.640381,3733.187012,3760.533936,3760.533936,5445430
2024-05-31,3765.846680,3840.228760,3750.925537,3792.977295,3792.977295,5534847
2024-06-01,3792.977295,3848.686523,3778.444336,3842.020752,3842.020752,5045686
2024-06-02,3842.020752,3855.643799,3798.541260,3817.353760,3817.353760,564940
2024-06-03,3817.353760,3870.401611,3805.735840,3812.335938,3812.335938,4150042
2024-06-04,3812.335938,3859.071045,3803.038086,3854.672607,3854.672607,1006986
2024-06-05,3854.672607,3915.997314,3835.632813,3891.571777,3891.571777,62868
2024-06-06,3891.571777,3906.235840,3843.271973,3852.195313,3852.195313,5986280
2024-06-07,3852.196289,3859.912842,3765.084961,3776.004883,3776.004883,370590
2024-06-08,3776.004883,3776.081299,3713.009766,3713.017822,3713.017822,544005
2024-06-09,3713.017822,3751.994385,3710.291504,3745.036621,3745.036621,2026942
2024-06-10,3745.036621,3745.036621,3701.234131,3710.925049,3710.925049,587955
2024-06-11,3710.925049,3710.965820,3495.959717,3526.088867,3526.088867,5746488
2024-06-12,3526.434814,3644.262695,3507.215576,3581.873535,3581.873535,1317627
2024-06-13,3581.873535,3581.873535,3492.057373,3503.761963,3503.761963,3259576
2024-06-14,3503.761963,3554.561279,3441.738281,3531.200195,3531.200195,221854
2024-06-15,3531.200195,3585.482422,3516.704834,3581.860107,3581.860107,99301
2024-06-16,3581.860107,3645.662109,3578.678955,3630.349365,3630.349365,113752
2024-06-17,3630.349365,3639.026367,3531.534912,3558.731934,3558.731934,226672
2024-06-18,3558.731934,3558.754883,3436.743652,3496.630371,3496.630371,1870000
2024-06-19,3496.630371,3589.968506,3494.753174,3579.943359,3579.943359,2397022
2024-06-20,3579.943359,3638.213867,3551.018799,3551.020508,3551.020508,1090646
2024-06-21,3551.020508,3570.840576,3501.325684,3552.968262,3552.968262,3184413
2024-06-22,3552.968262,3552.968262,3519.804932,3527.187500,3527.187500,784456
2024-06-23,3527.187500,3542.851318,3452.100586,3453.840820,3453.840820,1458447
2024-06-24,3453.840820,3453.840820,3298.882324,3377.435059,3377.435059,6985575
2024-06-25,3377.435059,3448.969727,3369.390137,3430.694824,3430.694824,15611438
2024-06-26,3430.694824,3448.460205,3379.500977,3400.789551,3400.789551,1681263
2024-06-27,3400.789551,3488.716064,3386.311035,3466.053711,3466.053711,28710442
2024-06-28,3466.053711,3490.679443,3390.895752,3399.735840,3399.735840,13444791
2024-06-29,3399.735840,3427.043701,3399.634521,3406.073730,3406.073730,8767779
2024-06-30,3406.073730,3477.059570,3388.610840,3469.333984,3469.333984,2730129
